,playlist,names,ids,singers,singerids,albums,Language
257,唔係咁打嘅喜欢的音乐,Staring at You,27863779,Diane Birch,53326,Speak A Little Louder (Deluxe),en
258,唔係咁打嘅喜欢的音乐,Insomnia,16959121,Craig David,29959,Insomnia,en
259,唔係咁打嘅喜欢的音乐,Woman Like Me,1317251063,Little Mix,96072,Woman Like Me,en
260,唔係咁打嘅喜欢的音乐,Forever Starts Tonight,27879263,Tyler Ward,45208,Honestly (Deluxe Version),en
261,唔係咁打嘅喜欢的音乐,7 rings (Remix),1343492095,Ariana Grande,48161,7 rings (Remix),en
262,唔係咁打嘅喜欢的音乐,Beautiful Pain,27907490,Eminem,32665,The Marshall Mathers LP2 (Deluxe),en
263,唔係咁打嘅喜欢的音乐,On Your Own Again,475207761,Vitamin A,1047001,Sentimental Journeys,en
264,唔係咁打嘅喜欢的音乐,TiK ToK,2918954,Kesha,63901,Animal (Expanded Edition),en
265,唔係咁打嘅喜欢的音乐,Diamonds,21563184,Rihanna,72724,Diamonds,en
266,唔係咁打嘅喜欢的音乐,Cheap Thrills,39224884,Sia,74625,This Is Acting,en
267,唔係咁打嘅喜欢的音乐,I Just Wanna Run,4386589,The Downtown Fiction,103121,Best I Never Had,en
268,唔係咁打嘅喜欢的音乐,Genius,556203261,LSD,575566,Genius,en
269,唔係咁打嘅喜欢的音乐,Till I Collapse (NEFFEX Remix),530995221,NEFFEX,12023273,Till I Collapse (NEFFEX Remix),en
270,唔係咁打嘅喜欢的音乐,Meant to Be,497131617,Bebe Rexha,336466,All Your Fault: Pt. 2,en
271,唔係咁打嘅喜欢的音乐,One Day,21157332,Matisyahu,38945,One Day,en
272,唔係咁打嘅喜欢的音乐,The Climb,17217944,Miley Cyrus,66361,The Climb,en
273,唔係咁打嘅喜欢的音乐,Party in the U.S.A.,3028254,Miley Cyrus,66361,Party in the U.S.A.,en
274,唔係咁打嘅喜欢的音乐,Wrecking Ball,27697195,Miley Cyrus,66361,Wrecking Ball,en
275,唔係咁打嘅喜欢的音乐,Titanium,3406918,David Guetta,31211,Best Of...,en
276,唔係咁打嘅喜欢的音乐,Hello,35847388,Adele,46487,Hello,en
277,唔係咁打嘅喜欢的音乐,Someone Like You,16435049,Adele,46487,Someone Like You,en
278,唔係咁打嘅喜欢的音乐,Rolling In The Deep,16435051,Adele,46487,Rolling In The Deep,en
279,唔係咁打嘅喜欢的音乐,Million Years Ago,36871368,Adele,46487,25,en
280,唔係咁打嘅喜欢的音乐,Make You Feel My Love,16435050,Adele,46487,Make You Feel My Love,en
281,唔係咁打嘅喜欢的音乐,When We Were Young,402073823,Adele,46487,When We Were Young,en
282,唔係咁打嘅喜欢的音乐,Sing,28401218,Ed Sheeran,33184,Sing,en
283,唔係咁打嘅喜欢的音乐,What Makes You Beautiful,17753288,One Direction,98351,What Makes You Beautiful,en
284,唔係咁打嘅喜欢的音乐,Never Say Never,1519206,Justin Bieber,35531,Never Say Never,en
285,唔係咁打嘅喜欢的音乐,Sorry,35847559,Justin Bieber,35531,Sorry,en
286,唔係咁打嘅喜欢的音乐,Side To Side,456370701,Ariana Grande,48161,Crowd Pleasers,en
287,唔係咁打嘅喜欢的音乐,Poker Face,21038748,Lady Gaga,64147,Poker Face,en
288,唔係咁打嘅喜欢的音乐,Bad Romance (Radio Edit),21038694,Lady Gaga,64147,Bad Romance,en
289,唔係咁打嘅喜欢的音乐,Telephone,2923152,Lady Gaga,64147,Telephone,en
290,唔係咁打嘅喜欢的音乐,Just Dance,21038756,Lady Gaga,64147,Just Dance,en
291,唔係咁打嘅喜欢的音乐,The Cure,472045959,Lady Gaga,64147,The Cure,en
292,唔係咁打嘅喜欢的音乐,Monster,21038467,Lady Gaga,64147,The Fame Monster,en
293,唔係咁打嘅喜欢的音乐,Best Song Ever,26902779,One Direction,98351,Best Song Ever (From THIS IS US),en
294,唔係咁打嘅喜欢的音乐,Chandelier,28306668,Sia,74625,Chandelier,en
295,唔係咁打嘅喜欢的音乐,On My Own,16483438,Ashes Remain,87231,What I've Become,en
296,唔係咁打嘅喜欢的音乐,Send It (feat. Rich Homie Quan),426291544,Austin Mahone,29121,Send It (feat. Rich Homie Quan),en
297,唔係咁打嘅喜欢的音乐,Stupid Cupid,2319813,Connie Francis,50969,"Jive Connie, Jive!",en
298,唔係咁打嘅喜欢的音乐,Disturbia,3314175,Rihanna,72724,Good Girl Gone Bad,en
299,唔係咁打嘅喜欢的音乐,Blame It On The Girls,21151522,Mika,38849,Blame It On The Girls,en
300,唔係咁打嘅喜欢的音乐,Dancer,539250965,Flo Rida,56783,Dancer,en
301,唔係咁打嘅喜欢的音乐,Easily,475207754,Vitamin A,1047001,Sentimental Journeys,en
302,唔係咁打嘅喜欢的音乐,Breaks My Heart,29732303,Vitamin A,1047001,最新热歌慢摇83,en
303,唔係咁打嘅喜欢的音乐,This Is the Moment,534807064,Selectracks,761105,"Teen Pop, Vol. 1",en
304,唔係咁打嘅喜欢的音乐,Title,29343743,Meghan Trainor,69173,Title,en
305,唔係咁打嘅喜欢的音乐,Breathe,29600334,James Blunt,35329,When I Find Love Again,en
306,唔係咁打嘅喜欢的音乐,These Are The Words,18658920,James Blunt,35329,Some Kind Of Trouble,en
307,唔係咁打嘅喜欢的音乐,Sunny,29460402,Bryan Adams,29319,Tracks Of My Years (Deluxe),en
308,唔係咁打嘅喜欢的音乐,Banjo Laura,1692646,Lauris Reiniks,38686,Banjo Laura,en
309,唔係咁打嘅喜欢的音乐,La Chica del Banjo,1692652,Lauris Reiniks,38686,Banjo Laura,en
310,唔係咁打嘅喜欢的音乐,Only Dreamers,22228497,Helene Fischer,60252,Best Of,en
311,唔係咁打嘅喜欢的音乐,By Your Side,437909145,Jonas Blue,1192069,By Your Side,en
312,唔係咁打嘅喜欢的音乐,Lead On,28563070,Phillip Phillips,41847,Behind the Light (Deluxe Version),en
313,唔係咁打嘅喜欢的音乐,Bad Boy,27234788,Cascada,50900,3D (Special Edition),en
314,唔係咁打嘅喜欢的音乐,The Days (Jasmine Thompson Cover) (Bergs Remix),33735727,Bergs,1124428,The Days,en
315,唔係咁打嘅喜欢的音乐,Don't Gimme That,478110971,The Bosshoss,103603,The Very Best Of Greatest Hits (2005 - 2017) [Deluxe Version],en
316,唔係咁打嘅喜欢的音乐,Take Back My Love (Sunset Mix),1296490917,Frank Pole,12046116,Take Back My Love (Sunset Mix),en
317,唔係咁打嘅喜欢的音乐,Hotel California (2013 Remaster),26289183,Eagles,91725,The Studio Albums 1972-1979 (2013 Remaster),en
318,唔係咁打嘅喜欢的音乐,I Do,28256115,911,46396,I Do,en
319,唔係咁打嘅喜欢的音乐,Welcome to New York (Big Apple Version),488876810,A.M.7.,12598485,Welcome to New York (Big Apple Version),en
320,唔係咁打嘅喜欢的音乐,Memories,1392089153,Maroon 5,96266,Memories,en
321,唔係咁打嘅喜欢的音乐,3AM,469508217,AGA,768208,3AM,en
322,唔係咁打嘅喜欢的音乐,99 Problems,18299274,Hugo,12054237,Old Tyme Religion,en
323,唔係咁打嘅喜欢的音乐,Sk8er Boi,2117894,Avril Lavigne,46490,Sk8er Boi,en
324,唔係咁打嘅喜欢的音乐,Lalala,1373835581,Y2K,1049208,Lalala,en
325,唔係咁打嘅喜欢的音乐,Samurai 45,1379821181,MIYAVI,14732,NO SLEEP TILL TOKYO,en
326,唔係咁打嘅喜欢的音乐,Bali (with Guapdad 4000),1435977644,Rich Brian,12024301,Bali (with Guapdad 4000),en
327,唔係咁打嘅喜欢的音乐,3am,1417057277,Halsey,964321,Manic,en
328,唔係咁打嘅喜欢的音乐,7 rings,1416661689,Ariana Grande,48161,2020 GRAMMY® Nominees,en
329,唔係咁打嘅喜欢的音乐,Teeth,1385738126,5 Seconds of Summer,893624,Teeth,en
330,唔係咁打嘅喜欢的音乐,2 soon,1303019276,keshi,12544511,2 soon,en
331,唔係咁打嘅喜欢的音乐,Beautiful Mistakes,1824584848,Maroon 5,96266,Beautiful Mistakes,en
332,唔係咁打嘅喜欢的音乐,Still Waiting,4278394,Sum 41,99989,The Best Of Sum 41,en
333,唔係咁打嘅喜欢的音乐,Feelings,29019232,Maroon 5,96266,V,en
334,唔係咁打嘅喜欢的音乐,We Are The People (Official UEFA EURO 2020 Song),1843889342,Martin Garrix,780003,We Are The People (Official UEFA EURO 2020 Song),en
335,唔係咁打嘅喜欢的音乐,Mood,1464325108,24kGoldn,31081554,Mood,en
336,唔係咁打嘅喜欢的音乐,223's,1382666583,YNW Melly,13672034,223's,en
337,唔係咁打嘅喜欢的音乐,Born 2 Run,28160132,7Lions,861837,Born 2 Run,en
338,唔係咁打嘅喜欢的音乐,One Shot,439871976,Robin Thicke,41947,One Shot,en
339,唔係咁打嘅喜欢的音乐,Do It (Single Mix),27959901,The Bosshoss,103603,Do It,en
340,唔係咁打嘅喜欢的音乐,Hero,17061616,Charlotte Perrelli,51059,Hero,en
341,唔係咁打嘅喜欢的音乐,Unbelievable,32835004,Owl City,40859,Unbelievable,en
342,唔係咁打嘅喜欢的音乐,I'm a Mess,572720629,Bebe Rexha,336466,Expectations,en
343,唔係咁打嘅喜欢的音乐,Talking to the Moon,25657274,Bruno Mars,178059,It´s Better If You Don´t Understand,en
344,唔係咁打嘅喜欢的音乐,In the Name of Love,423227295,Martin Garrix,780003,In the Name of Love,en
345,唔係咁打嘅喜欢的音乐,Home,518895654,Machine Gun Kelly,40329,Bright: The Album,en
346,唔係咁打嘅喜欢的音乐,I Got You,437480940,Bebe Rexha,336466,I Got You,en
347,唔係咁打嘅喜欢的音乐,Try Try Try,1474821,Jason Mraz,35332,Try Try Try,en
348,唔係咁打嘅喜欢的音乐,Tired,479219347,Alan Walker,1045123,Tired,en
349,唔係咁打嘅喜欢的音乐,Grenade,27514868,Bruno Mars,178059,Grenade,en
350,唔係咁打嘅喜欢的音乐,Lollipop,25849538,Mika,38849,Life In Cartoon Motion (Japan Edition),en
351,唔係咁打嘅喜欢的音乐,Lay It All On Me,34852287,Rudimental,42870,We the Generation (Deluxe Edition),en
352,唔係咁打嘅喜欢的音乐,Lollipop,1695569,Mika,38849,Relax (Take It Easy) / Lollipop,en
353,唔係咁打嘅喜欢的音乐,Delicate (Sawyr And Ryan Tedder Mix),567447085,Taylor Swift,44266,Delicate (Sawyr And Ryan Tedder Mix),en
354,唔係咁打嘅喜欢的音乐,None Of My Business,1318822532,Cher Lloyd,53041,None Of My Business,en
355,唔係咁打嘅喜欢的音乐,Replay,501326901,Cire,344911,Replay,en
356,唔係咁打嘅喜欢的音乐,You Know What?,37906423,Madeline Juno,896584,Salvation,en
357,唔係咁打嘅喜欢的音乐,A Brand New Day,16612803,Lisa Miskovsky,64222,Fallingwater,en
358,唔係咁打嘅喜欢的音乐,More,2065688,Usher,45564,More,en
359,唔係咁打嘅喜欢的音乐,Driving Around,26625677,Pitbull,41143,International Takeover,en
360,唔係咁打嘅喜欢的音乐,We Are Never Ever Getting Back Together,1343458283,Taylor Swift,44266,Be My Anti-Valentine,en
361,唔係咁打嘅喜欢的音乐,Iron Man,18524183,Ramin Djawadi,41992,Iron Man (Original Motion Picture Soundtrack),en
362,唔係咁打嘅喜欢的音乐,Old Time Rock & Roll,1098827,Bob Seger,29426,Stranger in Town,en
363,唔係咁打嘅喜欢的音乐,Parties,484365611,Jake Miller,776761,2:00am in LA,en
364,唔係咁打嘅喜欢的音乐,Bad Boy,1304402380,Tungevaag & Raaban,1090022,Bad Boy,en
365,唔係咁打嘅喜欢的音乐,Shooting Stars,27108022,Bag Raiders,88332,Shooting Stars EP,en
366,唔係咁打嘅喜欢的音乐,Soldier,27969800,Samantha Jade,74738,Soldier,en
367,唔係咁打嘅喜欢的音乐,Walkashame,29984443,Meghan Trainor,69173,Title (Deluxe),en
368,唔係咁打嘅喜欢的音乐,Paloma Blanca,5223019,George Baker Selection,34025,40 Hits 1975 - 1979,en
369,唔係咁打嘅喜欢的音乐,Bitty Boppy Betty,18212701,Pink Martini,70833,Splendor in the Grass,en
370,唔係咁打嘅喜欢的音乐,I Remember,3026583,MOCCA,66349,My Diary,en
371,唔係咁打嘅喜欢的音乐,Can't Hold Us,26244634,Macklemore,40036,MTV Hits Vol.3,en
372,唔係咁打嘅喜欢的音乐,Shut up and Dance,29382788,Walk The Moon,105441,Shut up and Dance,en
373,唔係咁打嘅喜欢的音乐,Cake by the Ocean,35845278,DNCE,1150261,Swaay,en
374,唔係咁打嘅喜欢的音乐,GRRRLS,515647696,AViVA,12074178,GRRRLS,en
375,唔係咁打嘅喜欢的音乐,All of Me,27556211,John Legend,35342,Love In The Future,en
376,唔係咁打嘅喜欢的音乐,When I Was Your Man,25657229,Bruno Mars,178059,When I Was Your Man,en
377,唔係咁打嘅喜欢的音乐,As Long as You Love Me,3950792,Backstreet Boys,88148,Backstreet Boys (US Version),en
378,唔係咁打嘅喜欢的音乐,I Want It That Way,3950552,Backstreet Boys,88148,I Want It That Way,en
379,唔係咁打嘅喜欢的音乐,This Is Us,3949584,Backstreet Boys,88148,This Is Us,en
380,唔係咁打嘅喜欢的音乐,In a World Like This,26571055,Backstreet Boys,88148,In a World Like This,en
381,唔係咁打嘅喜欢的音乐,Breathless,19081569,Shayne Ward,42935,Breathless,en
382,唔係咁打嘅喜欢的音乐,Bailando,28306220,Enrique Iglesias,32662,*** and Love,en
383,唔係咁打嘅喜欢的音乐,Drop In The Ocean,35314133,Omi,938058,Me 4 U,en
384,唔係咁打嘅喜欢的音乐,Counting Down To Christmas,442991820,Campsite Dream,1146068,Counting Down To Christmas,en
385,唔係咁打嘅喜欢的音乐,Back to You,557584451,Selena Gomez,140196,Back to You,en
386,唔係咁打嘅喜欢的音乐,We Are the Champions,1868480,Queen,41906,Absolute Greatest,en
387,唔係咁打嘅喜欢的音乐,Superheroes,29307029,The Script,102028,No Sound Without Silence,en
388,唔係咁打嘅喜欢的音乐,Perfect,460043703,Ed Sheeran,33184,÷ (Deluxe),en
389,唔係咁打嘅喜欢的音乐,Come and Get Your Love,28864241,Redbone,73866,Guardians of the Galaxy (Deluxe),en
390,唔係咁打嘅喜欢的音乐,Hollaback Girl,18078228,Gwen Stefani,57958,Hollaback Girl,en
391,唔係咁打嘅喜欢的音乐,Closer,423228325,The Chainsmokers,893484,Closer,en
392,唔係咁打嘅喜欢的音乐,The Ocean,436514221,Mike Perry,195021,Dream Dance Vol.81,en
393,唔係咁打嘅喜欢的音乐,Beautiful Now,32019002,Zedd,46376,True Colors,en
394,唔係咁打嘅喜欢的音乐,All Time Low,461544312,Kurt Hugo Schneider,37962,All Time Low,en
395,唔係咁打嘅喜欢的音乐,Locked Away,406072193,OutaMatic,1181741,Locked Away (Maddie Wilson & Madilyn Paige) [OutaMatic Remix],en
396,唔係咁打嘅喜欢的音乐,What Are Words,1210461,Chris Medina,30899,What Are Words,en
397,唔係咁打嘅喜欢的音乐,Wrecking Ball,17721274,Frankmusik,33368,Do It In The AM,en
398,唔係咁打嘅喜欢的音乐,Free Loop,5253801,Daniel Powter,31187,"Cf, Movie & Drama Hits 广告，开麦拉！",en
399,唔係咁打嘅喜欢的音乐,Love You Like the Movies,29498914,Anthem Lights,86862,Escape,en
400,唔係咁打嘅喜欢的音乐,Bye Bye Bye,4164331,Lovestoned,95748,Rising Love,en
401,唔係咁打嘅喜欢的音乐,Trouble Is A Friend,16607987,Lenka,64143,Trouble Is A Friend - The Remixes,en
402,唔係咁打嘅喜欢的音乐,Stitches,31090820,Shawn Mendes,956238,Handwritten (Deluxe),en
403,唔係咁打嘅喜欢的音乐,Traveling Light,1491585,Joel Hanson,35375,Traveling Light,en
404,唔係咁打嘅喜欢的音乐,Want To Want Me,30903821,Jason Derulo,35511,Want To Want Me,en
405,唔係咁打嘅喜欢的音乐,Price Tag,18794244,Jessie J,62662,Price Tag,en
406,唔係咁打嘅喜欢的音乐,Gotta Go Home,28850418,Mirah,1049841,最新热歌慢摇73,en
407,唔係咁打嘅喜欢的音乐,Wonder What You're Doing for the Rest of Your Life,29004010,Train,44343,Bulletproof Picasso,en
408,唔係咁打嘅喜欢的音乐,Good Day,438803640,DNCE,1150261,DNCE,en
409,唔係咁打嘅喜欢的音乐,Cliche Love Song (Original Version),28576653,Basim,742069,Cliche Love Song,en
410,唔係咁打嘅喜欢的音乐,Older,1323832567,Sasha Alex Sloan,12646102,Older,en
411,唔係咁打嘅喜欢的音乐,Innocence,16431842,Avril Lavigne,46490,The Best Damn Thing (Deluxe Edition),en
412,唔係咁打嘅喜欢的音乐,Life Is Wonderful,1474868,Jason Mraz,35332,Introducing... Jason Mraz,en
413,唔係咁打嘅喜欢的音乐,When the Summer Ends,1294110653,Savoir Adore,100380,When the Summer Ends,en
414,唔係咁打嘅喜欢的音乐,Famous,522647397,Ivy Adara,12925126,Famous,en
415,唔係咁打嘅喜欢的音乐,Wildflower,552650454,Ida Red,13128157,Wildflower,en
416,唔係咁打嘅喜欢的音乐,Netflix Trip,487454619,AJR,88089,The Click,en
417,唔係咁打嘅喜欢的音乐,Turnin',28859948,Young Rising Sons,947185,Young Rising Sons,en
418,唔係咁打嘅喜欢的音乐,Where Are You Now,27896556,Union J,763059,Union J (Deluxe),en
419,唔係咁打嘅喜欢的音乐,Hypnotize Me,30987772,Taylor Berrett,45432,Great Falls,en
420,唔係咁打嘅喜欢的音乐,Everybody Hurts,16431979,Avril Lavigne,46490,Goodbye Lullaby,en
421,唔係咁打嘅喜欢的音乐,Ice cream,4872517,DnR,226558,家好月圆 电视剧原声带,en
422,唔係咁打嘅喜欢的音乐,Rains In L.A.,19168799,Scouting for Girls,74716,The Light Between Us,en
423,唔係咁打嘅喜欢的音乐,Rumors,33071205,Jake Miller,776761,Rumors,en
424,唔係咁打嘅喜欢的音乐,Let You Go,26436106,Jake Miller,776761,The Road Less Traveled,en
425,唔係咁打嘅喜欢的音乐,Bomb Digga Woo,444548120,Jhameel,37264,Bomb Digga Woo,en
426,唔係咁打嘅喜欢的音乐,White Lie,1610477,Jhameel,37264,Waves,en
427,唔係咁打嘅喜欢的音乐,Need You Now (iTunes Session),4154790,Lady A,95456,iTunes Session,en
428,唔係咁打嘅喜欢的音乐,Problem,28461430,Ariana Grande,48161,Problem,en
429,唔係咁打嘅喜欢的音乐,Bad Ideas,1326439375,Tessa Violet,897075,Bad Ideas,en
430,唔係咁打嘅喜欢的音乐,California,2119491,Akia,46516,Atruprncss [EP],en
431,唔係咁打嘅喜欢的音乐,Sexual Healing,2538549,Elize,55579,In Control,en
432,唔係咁打嘅喜欢的音乐,All Night Long,1940613,Stevie Hoang,42958,All Night Long,en
433,唔係咁打嘅喜欢的音乐,Show You Off,1940393,Stevie Hoang,42958,Summer Love,en
434,唔係咁打嘅喜欢的音乐,One Last Time,37239772,Stevie Hoang,42958,One Last Time,en
435,唔係咁打嘅喜欢的音乐,U Make Me Wanna,16858400,Blue,88145,One Love,en
436,唔係咁打嘅喜欢的音乐,Yesterday Once More,3986241,Carpenters,89363,Yesterday Once More: Greatest Hits 1969-1983,en
437,唔係咁打嘅喜欢的音乐,Stupid Cupid,5053125,Mandy Moore,66363,The Princess Diaries (Original Soundtrack),en
438,唔係咁打嘅喜欢的音乐,Lemon Tree,27180681,Fool's Garden,92442,Die Ultimative Chartshow (Die Erfolgreichsten One-Hit-Wonder),en
439,唔係咁打嘅喜欢的音乐,Rhythm Of The Rain,18668453,Jason Donovan,35397,Let It Be Me,en
440,唔係咁打嘅喜欢的音乐,Your Man,1494060,Josh Turner,35385,Your Man,en
441,唔係咁打嘅喜欢的音乐,You Make My Day,19268122,Tom Hugo,45438,Sundry Tales,en
442,唔係咁打嘅喜欢的音乐,Don't Worry Be Happy,2701514,Holly Dolly,59252,Pretty Donkey Girl,en
443,唔係咁打嘅喜欢的音乐,The Lazy Song,25657280,Bruno Mars,178059,Doo-Wops & Hooligans,en
444,唔係咁打嘅喜欢的音乐,Shutterbug,428203132,Glenna,12107487,Shutterbug,en
445,唔係咁打嘅喜欢的音乐,Class Historian,29365648,BRONCHO,1015040,Just Enough Hip To Be Woman,en
446,唔係咁打嘅喜欢的音乐,Trouble Is A Friend,16607971,Lenka,64143,Lenka,en
447,唔係咁打嘅喜欢的音乐,Bigcitydreams,21267236,Never Shout Never,40447,Yipee,en
448,唔係咁打嘅喜欢的音乐,Walk Thru Fire ,1322460396,Vicetone,747030,Monstercat Instinct Vol. 2,en
449,唔係咁打嘅喜欢的音乐,Pink Champagne,448749148,Nick Lopez,12249046,Pink Champagne,en
450,唔係咁打嘅喜欢的音乐,Sunny Day,2786189,Joy Williams,61047,Songs from This - EP,en
451,唔係咁打嘅喜欢的音乐,Vacation,28468491,Truslow,909026,Truslow,en
452,唔係咁打嘅喜欢的音乐,Bila,28613576,Candy,35873634,Candy,en
453,唔係咁打嘅喜欢的音乐,HiKARiE (English x guitar version),25706320,miwa,17120,ホイッスル ~君と過ごした日々~(初回限定A盤),en
454,唔係咁打嘅喜欢的音乐,Walk Away,2529311,Dia Frampton,55454,Red,en
455,唔係咁打嘅喜欢的音乐,Trouble Maker,22843672,Trouble Maker,161330,Trouble Maker,en
456,唔係咁打嘅喜欢的音乐,Lock Me Up,28464997,The Cab,44403,Lock Me Up EP,en
457,唔係咁打嘅喜欢的音乐,Everglow,37239018,Coldplay,89365,Everglow,en
458,唔係咁打嘅喜欢的音乐,Somebody That I Used To Know,17939827,Gotye,34376,Making Mirrors,en
459,唔係咁打嘅喜欢的音乐,Stressed Out,31654490,twenty one pilots,784190,Blurryface,en
460,唔係咁打嘅喜欢的音乐,Oh Pretty Woman,1877048,Roy Orbison,41949,Orbisongs,en
461,唔係咁打嘅喜欢的音乐,Get Lucky,26349642,Daft Punk,90513,Random Access Memories,en
462,唔係咁打嘅喜欢的音乐,The Sound Of Silence,5113327,Simon & Garfunkel,185017,Afscheid,en
463,唔係咁打嘅喜欢的音乐,I Gotta Feeling,3949384,Black Eyed Peas,88146,The E.N.D,en
464,唔係咁打嘅喜欢的音乐,让我快乐,1428166904,杨和苏KeyNG,13899303,辩护人,ch
465,唔係咁打嘅喜欢的音乐,山水之间,28802028,许嵩,5771,不如吃茶去,ch
466,唔係咁打嘅喜欢的音乐,粉色信笺,167782,许嵩,5771,半城烟沙,ch
467,唔係咁打嘅喜欢的音乐,尘世美,27646691,许嵩,5771,许嵩单曲集,ch
468,唔係咁打嘅喜欢的音乐,带我去找夜生活,1410647903,告五人,12676697,带我去找夜生活,ch
469,唔係咁打嘅喜欢的音乐,再见,185726,张震岳,6453,再见,ch
470,唔係咁打嘅喜欢的音乐,"Whenever, Wherever",3407105,Shakira,74623,Laundry Service,en
471,唔係咁打嘅喜欢的音乐,Forever Young,526472519,朴树,4721,BTV跨年冰雪盛典,ch
472,唔係咁打嘅喜欢的音乐,New Boy,139371,朴树,4721,我去2000年,ch
473,唔係咁打嘅喜欢的音乐,生如夏花,139357,朴树,4721,生如夏花,ch
474,唔係咁打嘅喜欢的音乐,披星戴月,188376,张敬轩,6462,P.S. I Love You 新歌+精选,ch
475,唔係咁打嘅喜欢的音乐,尘埃落定,28138170,张敬轩,6462,是时候…,ch
476,唔係咁打嘅喜欢的音乐,爱与痛的边缘,299090,王菲,9621,情·菲·得意,ch
477,唔係咁打嘅喜欢的音乐,濛,135325,麦浚龙,4483,Walking Underneath,ch
478,唔係咁打嘅喜欢的音乐,没有人,135334,麦浚龙,4483,Walking Underneath,ch
479,唔係咁打嘅喜欢的音乐,周六夜现场（Saturday night）,1911908484,董唧唧,12760523,周六夜现场（Saturday night）,ch
480,唔係咁打嘅喜欢的音乐,为你我受冷风吹,257098,林忆莲,8336,"Love, Sandy",ch
481,唔係咁打嘅喜欢的音乐,稀客,316510,杨千嬅,10204,千嬅盛放,ch
482,唔係咁打嘅喜欢的音乐,纵贯线兄弟姐妹,394677,纵贯线,13580,北上列车,ch
483,唔係咁打嘅喜欢的音乐,童话镇Plus,428642306,暗杠,1198010,童话镇Plus,ch
484,唔係咁打嘅喜欢的音乐,白鸽,157092,伍佰 & China Blue,222871,白鸽,ch
485,唔係咁打嘅喜欢的音乐,浪人情歌,157357,伍佰 & China Blue,222871,浪人情歌,ch
486,唔係咁打嘅喜欢的音乐,梦醒时分,156284,伍佰 & China Blue,222871,单程车票,ch
487,唔係咁打嘅喜欢的音乐,突然的自我,156374,伍佰 & China Blue,222871,忘情1015精选辑,ch
488,唔係咁打嘅喜欢的音乐,挪威的森林,157288,伍佰 & China Blue,222871,爱情的尽头,ch
489,唔係咁打嘅喜欢的音乐,泪桥,5265278,伍佰,5354,Wild Day Out 2004 生力 Grand Show Official Album,ch
490,唔係咁打嘅喜欢的音乐,被动(Live),156717,伍佰 & China Blue,222871,爱你伍佰年,ch
491,唔係咁打嘅喜欢的音乐,再度重相逢,156772,伍佰 & China Blue,222871,泪桥,ch
492,唔係咁打嘅喜欢的音乐,Last Dance,157276,伍佰 & China Blue,222871,爱情的尽头,ch
493,唔係咁打嘅喜欢的音乐,晚风,156763,伍佰 & China Blue,222871,泪桥,ch
494,唔係咁打嘅喜欢的音乐,披星戴月的想你,1317457805,告五人,12676697,披星戴月的想你,ch
495,唔係咁打嘅喜欢的音乐,孤勇者,1901371647,陈奕迅,2116,孤勇者,ch
496,唔係咁打嘅喜欢的音乐,一万次悲伤,25706279,逃跑计划,12977,世界,ch
497,唔係咁打嘅喜欢的音乐,逆流时光,30394202,安图声乐队,1049310,ANTU SOUND ROCK,ch
498,唔係咁打嘅喜欢的音乐,恋爱为何物,33984203,李克勤,3699,李克勤 我克勤,ch
499,唔係咁打嘅喜欢的音乐,逝去的歌,36199725,旅行团,12111,10 DAY'S,ch
500,唔係咁打嘅喜欢的音乐,静止,357424,花儿乐队,11761,幸福的旁边,ch
501,唔係咁打嘅喜欢的音乐,永远都会在,486999662,旅行团,12111,永远都会在,ch
502,唔係咁打嘅喜欢的音乐,"再见,再见",25706285,逃跑计划,12977,世界,ch
503,唔係咁打嘅喜欢的音乐,所念皆星河,1476239407,房东的猫,1050282,所念皆星河,ch
504,唔係咁打嘅喜欢的音乐,我们的爱,354593,F.I.R.,11562,F.I.R.同名专辑,ch
505,唔係咁打嘅喜欢的音乐,公路,394679,纵贯线,13580,北上列车,ch
506,唔係咁打嘅喜欢的音乐,亡命之徒,394685,纵贯线,13580,北上列车,ch
507,唔係咁打嘅喜欢的音乐,日落大道,36392029,梁博,166010,迷藏,ch
508,唔係咁打嘅喜欢的音乐,奔跑在孤傲的路上,39436490,旅行团,12111,10 DAY'S,ch
509,唔係咁打嘅喜欢的音乐,Edamame (ft. Rich Brian),1861126812,bbno$,12054171,Edamame (ft. Rich Brian),unknown
510,唔係咁打嘅喜欢的音乐,想去海边,1413863166,夏日入侵企画,12383009,想去海边,ch
511,唔係咁打嘅喜欢的音乐,必杀技,86030,古巨基,2849,金牌精选,ch
512,唔係咁打嘅喜欢的音乐,放空,1841002409,大籽,33735716,放空,ch
513,唔係咁打嘅喜欢的音乐,开着敞篷车,1876395183,king金鑫,12346690,开着敞篷车,ch
514,唔係咁打嘅喜欢的音乐,俾面派对,347643,Beyond,11127,命运派对,ch
515,唔係咁打嘅喜欢的音乐,好好恋爱,5261521,邓丽欣,7537,Love 05 情歌集,ch
516,唔係咁打嘅喜欢的音乐,大地,347758,Beyond,11127,秘密警察,ch
517,唔係咁打嘅喜欢的音乐,喜欢你,346073,Beyond,11127,Beyond 25th Anniversary,ch
518,唔係咁打嘅喜欢的音乐,情人,347241,Beyond,11127,海阔天空,ch
519,唔係咁打嘅喜欢的音乐,冷雨夜,346069,Beyond,11127,Beyond 25th Anniversary,ch
520,唔係咁打嘅喜欢的音乐,光辉岁月,346576,Beyond,11127,光辉岁月十五年,ch
